Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,High-PreClose,PreClose-Low,High-Open,Open-Low,High-Low,PreClose-Open
TATAMOTORS,EQ,18-Apr-16,408.75,407.65,409.9,402.5,407,407.35,406.23,5571076,2263116757,77253,2566673,46.07,1.15,6.25,2.25,5.15,7.4,1.1
TATAMOTORS,EQ,20-Apr-16,407.35,407,410.35,400.65,403.85,404.1,405.83,7589901,3080243737,100611,3629564,47.82,3,6.7,3.35,6.35,9.7,0.35
TATAMOTORS,EQ,21-Apr-16,404.1,408.7,417.2,406,410.5,411.5,411.43,9211869,3790068646,111112,4678184,50.78,13.1,-1.9,8.5,2.7,11.2,-4.6
TATAMOTORS,EQ,22-Apr-16,411.5,412.1,420.5,408,417.1,417,416.08,5995998,2494804238,75965,2148363,35.83,9,3.5,8.4,4.1,12.5,-0.6
TATAMOTORS,EQ,25-Apr-16,417,417.6,417.6,410,412,412.2,412.76,3272996,1350953356,63481,1203343,36.77,0.6,7,0,7.6,7.6,-0.6
TATAMOTORS,EQ,26-Apr-16,412.2,408.65,423.65,405.05,418.35,419.05,416.78,6998505,2916830581,106925,2904984,41.51,11.45,7.15,15,3.6,18.6,3.55
TATAMOTORS,EQ,27-Apr-16,419.05,418.95,425.25,414.65,419.1,418.55,420.75,6227941,2620408236,95959,2918121,46.86,6.2,4.4,6.3,4.3,10.6,0.1
TATAMOTORS,EQ,28-Apr-16,418.55,418.8,420.95,409.7,410.45,411.35,413.77,7546101,3122376408,150016,4180794,55.4,2.4,8.85,2.15,9.1,11.25,-0.25
TATAMOTORS,EQ,29-Apr-16,411.35,410,413.7,403.05,408.1,408.35,407.72,6251095,2548713444,104590,2709408,43.34,2.35,8.3,3.7,6.95,10.65,1.35
TATAMOTORS,EQ,2-May-16,408.35,407.95,410.45,402.5,408.2,407.7,406.96,4178821,1700632782,57962,1414442,33.85,2.1,5.85,2.5,5.45,7.95,0.4
TATAMOTORS,EQ,3-May-16,407.7,410.9,422,407.8,408.85,409.65,415.54,9620804,3997866700,104175,2961494,30.78,14.3,-0.1,11.1,3.1,14.2,-3.2
TATAMOTORS,EQ,4-May-16,409.65,405.5,405.5,380.1,383.15,381.8,389.08,12069134,4695882347,136649,5276917,43.72,-4.15,29.55,0,25.4,25.4,4.15
TATAMOTORS,EQ,5-May-16,381.8,384,396.05,383.15,389.7,391.15,391.17,9601341,3755759881,97494,4320362,45,14.25,-1.35,12.05,0.85,12.9,-2.2
TATAMOTORS,EQ,6-May-16,391.15,388.6,400.9,384.5,397.6,398.7,392.37,9953672,3905565970,113433,5292817,53.17,9.75,6.65,12.3,4.1,16.4,2.55
TATAMOTORS,EQ,9-May-16,398.7,400.35,405.2,395.15,402.65,403.35,400.62,8700283,3485501075,103866,3768260,43.31,6.5,3.55,4.85,5.2,10.05,-1.65
TATAMOTORS,EQ,10-May-16,403.35,400.8,400.8,387.15,389.95,388.95,390.89,9166453,3583065896,122990,4215780,45.99,-2.55,16.2,0,13.65,13.65,2.55
TATAMOTORS,EQ,11-May-16,388.95,384.8,391.95,376.1,380.4,379.85,383.75,11595875,4449969069,131335,4527541,39.04,3,12.85,7.15,8.7,15.85,4.15
TATAMOTORS,EQ,12-May-16,379.85,379,388.6,379,387,387.05,385.58,6506343,2508710558,72505,2711453,41.67,8.75,0.85,9.6,0,9.6,0.85
TATAMOTORS,EQ,13-May-16,387.05,391.25,394,385.5,389.5,389.95,390.35,14027896,5475843916,146771,7783927,55.49,6.95,1.55,2.75,5.75,8.5,-4.2
TATAMOTORS,EQ,16-May-16,389.95,393.8,396.7,389,390.75,392.7,393.22,8248193,3243327646,87893,4095663,49.66,6.75,0.95,2.9,4.8,7.7,-3.85
TATAMOTORS,EQ,17-May-16,392.7,392.6,395,386.6,389.5,389.7,391.45,9425555,3689604099,90601,4250112,45.09,2.3,6.1,2.4,6,8.4,0.1
TATAMOTORS,EQ,18-May-16,389.7,383.5,387.35,381.6,384.75,384.85,384.67,8589315,3304074477,93580,4525540,52.69,-2.35,8.1,3.85,1.9,5.75,6.2
TATAMOTORS,EQ,19-May-16,384.85,386.25,393.3,381.95,384.65,386.9,389.66,10988676,4281792709,87631,5758286,52.4,8.45,2.9,7.05,4.3,11.35,-1.4
