"","unique.TradeData1.country_or_area.","unique.TradeData1.category.","unique.TradeData1.commodity.","round.SMAForecastUSD.mean..digits...2.","round.SMAForecastQTY.mean..digits...2."
"1","Australia","01_live_animals","Horses, live pure-bred breeding","135166459","2417.53"
"2","Australia","01_live_animals","Horses, live pure-bred breeding","135166459","2417.53"
"3","Australia","01_live_animals","Horses, live pure-bred breeding","135166459","2417.53"
"4","Australia","01_live_animals","Horses, live except pure-bred breeding","82546063","2280.67"
"5","Australia","01_live_animals","Horses, live except pure-bred breeding","82546063","2280.67"
"6","Australia","01_live_animals","Horses, live except pure-bred breeding","82546063","2280.67"
"7","Australia","01_live_animals","Asses, mules and hinnies, live","2702735","196.31"
"8","Australia","01_live_animals","Asses, mules and hinnies, live","2702735","196.31"
"9","Australia","01_live_animals","Asses, mules and hinnies, live","2702735","196.31"
"10","Australia","01_live_animals","Bovine animals, live pure-bred breeding","170744232","108021.9"
"11","Australia","01_live_animals","Bovine animals, live pure-bred breeding","170744232","108021.9"
"12","Australia","01_live_animals","Bovine animals, live pure-bred breeding","170744232","108021.9"
"13","Australia","01_live_animals","Bovine animals, live, except pure-bred breeding","1083433344","1154127"
"14","Australia","01_live_animals","Bovine animals, live, except pure-bred breeding","1235499801","1154127"
"15","Australia","01_live_animals","Bovine animals, live, except pure-bred breeding","1387566258","1154127"
"16","Australia","01_live_animals","Swine, live pure-bred breeding","96441.05","131.01"
"17","Australia","01_live_animals","Swine, live pure-bred breeding","96441.05","131.01"
"18","Australia","01_live_animals","Swine, live pure-bred breeding","96441.05","131.01"
"19","Australia","01_live_animals","Sheep, live","186398017","2046935"
"20","Australia","01_live_animals","Sheep, live","186398017","2046935"
"21","Australia","01_live_animals","Sheep, live","186398017","2046935"
"22","Australia","01_live_animals","Goats, live","7703422","77816.35"
"23","Australia","01_live_animals","Goats, live","7703422","77816.35"
"24","Australia","01_live_animals","Goats, live","7703422","77816.35"
"25","Australia","01_live_animals","Fowls, live domestic < 185 grams"," 844604.0","180081.5"
"26","Australia","01_live_animals","Fowls, live domestic < 185 grams"," 966814.9","180081.5"
"27","Australia","01_live_animals","Fowls, live domestic < 185 grams","1089025.8","180081.5"
"28","Australia","01_live_animals","Animals, live, except farm animals","5063909","  6120.60"
"29","Australia","01_live_animals","Animals, live, except farm animals","4861290","-32494.23"
"30","Australia","01_live_animals","Animals, live, except farm animals","4658672","-65464.69"
"31","Australia","01_live_animals","Poultry, live except domestic fowls, < 185 grams","28356.85","10199.80"
"32","Australia","01_live_animals","Poultry, live except domestic fowls, < 185 grams","28356.85","12217.82"
"33","Australia","01_live_animals","Poultry, live except domestic fowls, < 185 grams","28356.85","14235.83"
"34","Australia","01_live_animals","Swine, live except pure-bred breeding < 50 kg","156011.2","4165.8"
"35","Australia","01_live_animals","Swine, live except pure-bred breeding < 50 kg","156011.2","4165.8"
"36","Australia","01_live_animals","Swine, live except pure-bred breeding < 50 kg","156011.2","4165.8"
